s39,s40,s41,v92,v93,v94,v95,v96,v97,v98,v99,oh53,oh54,oh55,oh56,oh57,v100,v101,v102,v103,v104,v105,v106,v107,oh58,oh59,oh60,oh61,oh62
0.71655,0.56091,0.30823,0.04743,0.01649,0.18663,0.23095,0.05284,0.14081,0.32358,0.16736,0.25757,0.1886,0.45716,0.16906,-0.08484,0.04827,0.19986,0.19171,0.08712,0.15005,0.30609,0.08442,0.01968,0.09704,0.02686,0.30273,0.13001,-0.20997
0.72204,0.57373,0.36377,0.01091,0.00979,0.21123,0.21909,0.0164,0.15423,0.33633,0.13454,0.19287,0.177,0.48096,0.1654,-0.0824,0.0214,0.16225,0.22056,0.03505,0.10918,0.30427,0.13484,0.0062,0.02197,-0.00915,0.30823,0.03235,-0.20142
0.70434,0.55298,0.30396,0.04785,0.00412,0.16712,0.24435,0.03863,0.11515,0.31629,0.17541,0.27893,0.20935,0.44983,0.21423,-0.07996,0.02014,0.21737,0.17856,0.07526,0.14021,0.30718,0.08203,0.03571,0.07141,0.04212,0.29907,0.13123,-0.21546
0.71106,0.5542,0.38574,0.02813,0.00051,0.20275,0.21496,0.02478,0.1429,0.32613,0.14438,0.22522,0.18432,0.47608,0.18371,-0.07019,0.02351,0.15091,0.24304,0.01393,0.10411,0.31556,0.16287,0.01056,-0.01282,-0.047,0.30273,-0.03051,-0.22583
0.70252,0.58715,0.45838,0.02602,0.04378,0.08864,0.29229,0.00838,0.03699,0.28276,0.18764,0.47302,0.43518,0.56274,0.48706,0.08911,0.02561,0.18903,0.19214,0.00567,0.12768,0.2988,0.13842,0.02623,0.18982,0.15259,0.42908,0.14588,-0.07141
0.66773,0.53772,0.48218,0.01847,0.00515,0.13615,0.25981,0.01967,0.09874,0.30062,0.16348,0.43273,0.40588,0.6018,0.39978,0.09826,0.0042,0.20241,0.17814,0.05464,0.12022,0.29624,0.15691,0.04227,0.18311,0.177,0.43335,0.11231,-0.06286
0.65979,0.52551,0.50232,0.00293,0.05408,0.19638,0.19538,0.04081,0.16944,0.30682,0.11515,0.32592,0.32166,0.60425,0.25757,0.09033,0.04408,0.18027,0.21844,0.01702,0.13573,0.31519,0.14378,0.02623,0.1532,0.08911,0.40344,0.10926,-0.12451
0.77332,0.63903,0.56946,0.02434,0.03039,0.11367,0.28611,0.00037,0.06235,0.29989,0.18286,0.51574,0.48035,0.64392,0.51636,0.1416,0.01889,0.15091,0.20826,0.04072,0.10083,0.28568,0.17003,0.04518,0.23621,0.20874,0.50842,0.16053,0.02991
0.76966,0.64392,0.60425,0.05163,0.0304,0.13615,0.27167,0.02331,0.07815,0.309,0.19391,0.51208,0.43701,0.63293,0.47303,0.11535,0.02309,0.18954,0.1773,0.05309,0.12618,0.28641,0.15542,0.05757,0.33508,0.30151,0.55664,0.23865,0.07691
0.76843,0.60608,0.3949,0.00252,0.02317,0.23158,0.25981,0.01421,0.14946,0.38261,0.15214,0.26123,0.25757,0.59082,0.28503,-0.05005,0.00714,0.15658,0.22353,0.00361,0.09576,0.30281,0.15512,0.00364,0.06897,0.05859,0.38025,0.06287,-0.12696
